Day,Normalized Mean Delivery
1,0.0
2,0.6850246925114796
3,1.5733799056534794
4,0.5641379820682771
5,1.1662556969194762
6,0.6229602511345098
7,1.1996037549727734
8,0.0
9,1.2635208662415929
10,1.1894140705675993
11,0.7985007233872824
12,1.0217474453551885
13,1.2046985971753605
14,0.726709765078101
15,0.0
16,0.9930310620315159
17,1.3399434992803991
18,1.5423476849649944
19,1.4640723820343386
20,0.6655716586470561
21,0.6044335522160114
22,0.0
23,1.2028459272835108
24,1.7063089703937055
25,0.5483902879875536
26,0.6498239645663325
27,0.9369877978030581
28,1.1792243861624252
29,0.0
30,1.1972879176079612
31,1.6224756577875001
32,1.1245706243528546
33,1.1574555149331895
34,0.8133220825220812
35,0.8911342179797745
36,0.0
37,1.144023658217278
38,0.9406931375867579
39,0.7517208086180739
40,0.8198064271435556
41,1.239436157647545
42,1.3186377955241257
43,0.0
44,0.885576208304225
45,1.9999571482519056
46,0.902713404803836
47,0.3084695369929989
48,0.9573671666134065
49,1.760036397257351
50,0.0
51,0.8990080650201363
52,1.5293789957220454
53,1.314932455740426
54,1.1102124326910183
55,1.0759380396917964
56,1.5089996269116972
57,0.0
58,1.0064629187474274
59,1.4571248699399015
60,0.7040145589029404
61,0.5108737226775942
62,1.4112712901166182
63,0.8531544851968528
64,0.0
65,1.4853780857906118
66,0.6299077632289466
67,1.4543458651021268
68,1.0064629187474274
69,0.5650643170142021
70,0.9874730523559664
71,0.0
72,1.260278693930856
73,0.8656600069668392
74,1.1273496291906295
75,1.0541691684625607
76,0.6192549113508101
77,0.35478628428924497
78,0.0
79,1.164866194500589
80,0.6479712946744826
81,1.1509711703117151
82,0.5627484796493899
83,1.2371203202827328
84,0.4381564294224879
85,0.0
86,1.5437371873838819
87,1.1134546050017557
88,0.7327309422266131
89,0.8128589150491188
90,1.4705567266558128
91,0.7192990855107017
92,0.0
93,0.6558451417148444
94,1.1454131606361655
95,0.6104547293645234
96,0.9601461714511812
97,1.6025594564501144
98,1.7674470768247503
99,0.0
100,0.41777706061213965
101,1.5905171021530904
102,0.8063745704276442
103,1.128739131609517
